"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"AL","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"AR","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"AS","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","Not Available","","07/01/2013","06/30/2014"
"AZ","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"CA","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"CO","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"CT","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"DC","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","98","","07/01/2013","06/30/2014"
"DE","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"FL","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"GA","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"GU","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","93","","07/01/2013","06/30/2014"
"HI","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"IA","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"ID","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"IL","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"IN","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"KS","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"KY","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"LA","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"MA","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"MD","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"ME","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"MI","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"MN","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"MO","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"MP","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","Not Available","","07/01/2013","06/30/2014"
"MS","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"MT","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"NC","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
"ND","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","99","","07/01/2013","06/30/2014"
"NE","Heart Attack or Chest Pain","Aspirin prescribed at discharge","AMI_2","100","","07/01/2013","06/30/2014"
